state,county_name,candidate,party,mode,votes,Total Votes
Alabama,sumter,Ron Crumpton,Democratic,absentee,314,6271
Alabama,sumter,Richard C. Shelby,Republican,absentee,93,6271
Alabama,sumter,Write in,Other,regular,4,6271
Alabama,sumter,Ron Crumpton,Democratic,regular,4297,6271
Alabama,sumter,Richard C. Shelby,Republican,regular,1563,6271
Alabama,talladega,Write in,Other,absentee,2,33107
Alabama,talladega,Ron Crumpton,Democratic,absentee,335,33107
Alabama,talladega,Richard C. Shelby,Republican,absentee,683,33107
Alabama,talladega,Write in,Other,regular,27,33107
Alabama,talladega,Ron Crumpton,Democratic,regular,12297,33107
Alabama,talladega,Richard C. Shelby,Republican,regular,19763,33107
Alabama,tallapoosa,Ron Crumpton,Democratic,absentee,219,19222
Alabama,tallapoosa,Richard C. Shelby,Republican,absentee,585,19222
Alabama,tallapoosa,Write in,Other,regular,17,19222
Alabama,tallapoosa,Ron Crumpton,Democratic,regular,5585,19222
Alabama,tallapoosa,Richard C. Shelby,Republican,regular,12816,19222
Alabama,tuscaloosa,Write in,Other,absentee,4,81655
Alabama,tuscaloosa,Ron Crumpton,Democratic,absentee,1065,81655
Alabama,tuscaloosa,Richard C. Shelby,Republican,absentee,1724,81655
Alabama,tuscaloosa,Write in,Other,regular,126,81655
Alabama,tuscaloosa,Ron Crumpton,Democratic,regular,30537,81655
Alabama,tuscaloosa,Richard C. Shelby,Republican,regular,48199,81655
Alabama,walker,Write in,Other,regular,48,29026
Alabama,walker,Ron Crumpton,Democratic,regular,5397,29026
Alabama,walker,Richard C. Shelby,Republican,regular,22856,29026
Alabama,walker,Write in,Other,absentee,1,29026
Alabama,walker,Ron Crumpton,Democratic,absentee,161,29026
Alabama,walker,Richard C. Shelby,Republican,absentee,563,29026
Alabama,washington,Write in,Other,absentee,1,8279
Alabama,washington,Ron Crumpton,Democratic,absentee,62,8279
Alabama,washington,Richard C. Shelby,Republican,absentee,268,8279
Alabama,washington,Write in,Other,regular,4,8279
