state,county,candidate,party,candidatevotes,totalvotes
Arkansas,white,Hillary Clinton,Democratic,5170,27219
Arkansas,white,Donald Trump,Republican,21077,27219
Arkansas,white,Other,Other,972,27219
Arkansas,woodruff,Hillary Clinton,Democratic,1118,2571
Arkansas,woodruff,Donald Trump,Republican,1347,2571
Arkansas,woodruff,Other,Other,106,2571
Arkansas,yell,Hillary Clinton,Democratic,1480,6439
Arkansas,yell,Donald Trump,Republican,4608,6439
Arkansas,yell,Other,Other,351,6439
California,alameda,Hillary Clinton,Democratic,514842,654266
California,alameda,Donald Trump,Republican,95922,654266
California,alameda,Other,Other,43502,654266
California,alpine,Hillary Clinton,Democratic,334,602
California,alpine,Donald Trump,Republican,217,602
California,alpine,Other,Other,51,602
California,amador,Hillary Clinton,Democratic,6004,17734
California,amador,Donald Trump,Republican,10485,17734
California,amador,Other,Other,1245,17734
California,butte,Hillary Clinton,Democratic,41567,95564
California,butte,Donald Trump,Republican,45144,95564
California,butte,Other,Other,8853,95564
California,calaveras,Hillary Clinton,Democratic,7944,23136
California,calaveras,Donald Trump,Republican,13511,23136
California,calaveras,Other,Other,1681,23136
California,colusa,Hillary Clinton,Democratic,2661,6632
California,colusa,Donald Trump,Republican,3551,6632
California,colusa,Other,Other,420,6632
California,contra costa,Hillary Clinton,Democratic,319287,466175
California,contra costa,Donald Trump,Republican,115956,466175
California,contra costa,Other,Other,30932,466175
California,del norte,Hillary Clinton,Democratic,3485,9558
California,del norte,Donald Trump,Republican,5134,9558
California,del norte,Other,Other,939,9558
California,el dorado,Hillary Clinton,Democratic,36404,93591
California,el dorado,Donald Trump,Republican,49247,93591
California,el dorado,Other,Other,7940,93591
California,fresno,Hillary Clinton,Democratic,141341,282319
California,fresno,Donald Trump,Republican,124049,282319
California,fresno,Other,Other,16929,282319
California,glenn,Hillary Clinton,Democratic,3065,9470
California,glenn,Donald Trump,Republican,5788,9470
California,glenn,Other,Other,617,9470
California,humboldt,Hillary Clinton,Democratic,33200,59246
California,humboldt,Donald Trump,Republican,18373,59246
California,humboldt,Other,Other,7673,59246
California,imperial,Hillary Clinton,Democratic,32667,48091
California,imperial,Donald Trump,Republican,12704,48091
California,imperial,Other,Other,2720,48091
California,inyo,Hillary Clinton,Democratic,3155,8086
California,inyo,Donald Trump,Republican,4248,8086
California,inyo,Other,Other,683,8086
California,kern,Hillary Clinton,Democratic,98689,244163
California,kern,Donald Trump,Republican,129584,244163
California,kern,Other,Other,15890,244163
California,kings,Hillary Clinton,Democratic,13617,33915
California,kings,Donald Trump,Republican,18093,33915
California,kings,Other,Other,2205,33915
California,lake,Hillary Clinton,Democratic,11496,24496
California,lake,Donald Trump,Republican,10599,24496
California,lake,Other,Other,2401,24496
California,lassen,Hillary Clinton,Democratic,2224,10524
California,lassen,Donald Trump,Republican,7574,10524
California,lassen,Other,Other,726,10524
California,los angeles,Hillary Clinton,Democratic,2464364,3434308
California,los angeles,Donald Trump,Republican,769743,3434308
California,los angeles,Other,Other,200201,3434308
California,madera,Hillary Clinton,Democratic,17029,43112
California,madera,Donald Trump,Republican,23357,43112
California,madera,Other,Other,2726,43112
California,marin,Hillary Clinton,Democratic,108707,139273
California,marin,Donald Trump,Republican,21771,139273
California,marin,Other,Other,8795,139273
California,mariposa,Hillary Clinton,Democratic,3122,8877
California,mariposa,Donald Trump,Republican,5185,8877
California,mariposa,Other,Other,570,8877
California,mendocino,Hillary Clinton,Democratic,22079,37477
California,mendocino,Donald Trump,Republican,10888,37477
California,mendocino,Other,Other,4510,37477
California,merced,Hillary Clinton,Democratic,37317,70789
California,merced,Donald Trump,Republican,28725,70789
California,merced,Other,Other,4747,70789
California,modoc,Hillary Clinton,Democratic,877,3788
California,modoc,Donald Trump,Republican,2696,3788
California,modoc,Other,Other,215,3788
California,mono,Hillary Clinton,Democratic,2773,5276
California,mono,Donald Trump,Republican,2111,5276
California,mono,Other,Other,392,5276
California,monterey,Hillary Clinton,Democratic,89088,133408
California,monterey,Donald Trump,Republican,34895,133408
California,monterey,Other,Other,9425,133408
California,napa,Hillary Clinton,Democratic,39199,61372
California,napa,Donald Trump,Republican,17411,61372
